Id;codpro;descpro;prvapro;qtdpro
2205;14454;FILTRO COMBUSTIVEL PEUGEOT HB20;13;34
2265;13779;CORREIA DENTADA GOL MI 135D;39;56
2325;14097;OLEO FREIO DOT4 500ML ATE;29.9;95
2426;13908;OLEO MOTOR IPIRANGA F1 20W50 SL;28;410
2487;15213;OLEO MOTOR IPIRANGA SAE BRUTUS 5W30;49;353
2516;14626;ARREBITE LONA FIAT 3X6;0.1;2962
2667;15922;OLEO MOTOR IPIRANGA F1 15W40 SL;31;1207
2712;16070;OLEO CAMBIO DULUB 75W80;29;184
2796;16615;KIT AMORT DIANT PALIO MOBI;169;7
2812;16760;COMPRESSOR AR GOL 3CC UP;1689;9
2816;16764;JG PASTILHA FREIO DIANT UNO NOVO;44.9;222
2821;16856;AMORT DIANT LOGAN;299;2
3000;18333;MOTOR PARTIDA FIESTA;669;2
3014;18493;LAMPADA PINGAO MEDIA;2;8
3091;19021;JG CABO VELA UNO EVO;98;4
3167;19495;BOMBA AGUA GOL POWER;76;16
3213;19808;CAIXA DIREÇAO HIDRAUL PALIO FIRE;1479;2
3219;19836;PARAFUSO RODA CROMADO PALIO 06004;6;413
3220;19838;PARAFUSO RODA CROMADO CORSA 08003;6;310
3524;41350;KIT COIFA L CAMBIO PALIO;11;77
3585;41486;PALHETA LIMPADOR DIANT HB20;28;2
3591;41830;COXIM MOTOR DIANT COBALT LD;257;2
3600;41659;KIT AMORT DIANT GOL GV;12;4
3616;41866;OLEO MOTOR MAXI ECONOMY 10W40 SP;36;3
3629;40810;JUNTA FIXA L RODA GOL GV;143;11
3678;19931;CUBO RODA TRAS PALIO;138;44
3769;20511;TENSOR CORREIA DENTADA PALIO;59;17
3870;21282;TERMINAL ENCAIXE;0.5;302
3958;31804;ADITIVO RAD PARAFLU ROSA CONC;29;136
3962;21801;LAMPADA 1 POLO AMBAR PINO V UNIVERSAL;4;83
3997;22027;JUNTA CABEÇOTE PALIO FIRE EVO;59;29
4016;22117;VELA IGNICAO PALIO FIRE PEUG 208;19;276
4257;23515;TERMINAL DIREÇAO FOX GOL GV LE;51;28
4414;24416;RETENTOR LATERAL TRANSM CORSA;66;14
4529;25221;RETENTOR LATERAL TRANSMI CORSA;59;40
4555;25402;FILTRO OLEO CLIO SANDERO;17;2
4575;25676;ROLAMENTO RODA DIANT GOL GV;112;15
4597;25810;BUCHA BARRA ESTAB FOX;14;12
4653;26222;KIT AMORT DIANT GOL GV COMPLETO;77;8
4659;26276;AMORT TRAS PALIO;199;13
4748;26768;BATERIA MOURA M50ED;589;19
4757;26836;CUBO RODA TRAS PALIO NOVO;143;38
4781;38721;SILICONE SPRAY CAR80 300ML;17;151
4821;27129;SENSOR TEMP UNO PALIO FIRE;49;8
4830;27180;VALVULA CANISTER ONIX;271;17
4898;27530;BIELETA BARRA ESTAB NEW FIT;48;7
4900;27539;OLEO UNIVERSAL DULUB CAMBIO 90 GL4;25;146
4931;27856;CATALISADOR CELTA AGILE;1399;5
4938;27896;OLEO FREIO DOT4 RADNAQ 500ML;19;334
5021;28448;OLEO UNIVERSAL CAMBIO 80W GL4 DULUB;24;55
5094;28885;BIELETA BARRA ESTAB ONIX;39;12
5111;29045;OLEO MOTOR 5W20 SYNTHETIC MOTORCRAFT;42;2
5118;29054;PIVO SUSP COBALT;59;21
5130;29195;RADIADOR AGUA CRUZE TA;1097;2
5146;29308;VELA IGNICAO PICANTO HB20;41;5
5202;29794;CORREIA ALTERN GOL GV GVI;49;45
5206;29782;VELA IGNICAO VW UP;26;24
5211;29842;AMORT TRAS ONIX PRISMA;219;14
5307;30507;ELETROVENTILADOR CN FIT CITY;389;8
5337;39820;CILINDRO MESTRE EMBREAGEM HB20;299;39
5338;30727;VELA IGNICAO NOVO FORD KA;32;6
5366;30942;KIT AMORT DIANT PRISMA;134;9
5382;31096;KIT ROLAMENTO RODA TRAS CORSA;43;2
5384;31145;AMORT DIANT NEW FIESTA LD;319;6
5385;31146;AMORT DIANT NEW FIESTA LE;309;6
5403;31202;LIMPA RADIADOR ORBI QUIMICA 200ML;8;3
5414;31249;PALHETA LIMPADOR FIT ETIOS;36;26
5418;31344;AMORT DIANT ETIOS;299;5
5449;31422;JUNTA FIXA COBALT ONIX;171;16
5461;31494;MOTOR PARTIDA GOL GV FOX;699;11
5511;31797;AMORT DIANT ONIX LD;299;22
5513;31798;AMORT DIANT ONIX LE;299;24
5584;32836;JG CABO VELA ONIX;139;5
5601;32440;SENSOR ABS TRAS GOL GVI LD/LE;119;14
5652;34497;VELA IGNICAO MOBI EVO ETORQ;29;4
5912;35499;BATERIA ZETTA 60AMP;469;52
5972;35163;LAMPADA 1 POLO 12V 21W HALOWAY;2;380
6003;35421;KIT EMBREAGEM GRAND SIENA NOVO;519;3
6043;35633;AGUA DESMINERALIZADA ORBI 1LT;6;25
6060;35765;CABO SELEÇAO MARCHA CORSA;295;7
6084;35875;PNEU 175/65 R14 82T SP TOURING R1;399;55
6127;36152;SILICONE ALTA TEMP PRETO SUN;29.9;84
6183;37027;BIELETA BARRA ESTAB DIANT/TRAS TORO;59;3
6201;36508;BATERIA MOURA MF72LD;1289;5
6206;36643;PALHETA LIMPADOR CRUZE HB20;36;3
6214;36726;OLEO TRANSMISSAO IPIRANGA ATF CVT;74;55
6381;37672;KIT EMBREAGEM MOBI ARGO;489;17
6425;39313;KIT ROLAMENTO TRAS GOL;39;2
6439;38268;KIT AMORT DIANT ONIX LE/LD;199;9
6491;38630;POLIA ALTERNADOR FORD KA;159;5
6529;42309;OLEO DULUB TRANSM DX3 AUT ATF SEMI SINT;25;444
6593;42874;BATERIA CRALL CS60D 12M;419;28
6642;42111;PALHETA LIMPADOR DIANT GOL;36;8
6784;43509;CAIXA DIRECAO ELETRICA ONIX;1089;2
6787;43711;OLEO MOTOR DULUB 5W30 200L;5493;4
6821;44208;CILINDRO AUX EMB HB20;239;11
6883;43970;SILICONE ALTA TEMP PRETO DIRKO 70ML;41;122
6906;44666;COMPRESSOR AR CORSA CLASSIC;1639;2
6982;44922;JUNTA TAMPA VALV PALIO MOBI;46;11
7023;44910;ELETROVENTILADOR COROLLA ETIOS 17;329;8
7146;45630;AMORT DIANT PALIO ECONOMY;379;6
7201;46044;BIELETA BARRA ESTAB DIANT HB20;44;4
7228;45750;CABEÇOTE MOTOR GOL FOX;2279;2
7298;45800;COXIM AMORT DIANT COBALT ONIX;82;3
7326;46577;GUIA VALVULA FORD KA STD;18;42
7345;45818;RETENTOR HASTE VALV MOBI;10;2
7416;46598;FILTRO OLEO HB20 ORIGINAL;21;36
7450;45902;SELO BLOCO CORSA 34,40MM;6;11
7462;45914;ADITIVO RAD VERDE PARAFLU PRONTO P/ USO;19.9;27
7480;46597;ADITIVO RAD ROSA A05 PRONTO USO;18;63
7489;47303;RETENTOR HASTE VALV LOGAN;8;8
7500;47258;OLEO MOTOR ACDELCO DEXOS1 0W20;64;47
7565;47035;OLEO UNIVERSAL CAMBIO 80W90 GL5 DULUB;29;5
7590;47517;ATUADOR EMBREAGEM NOVO FORD KA;369;18
7603;48453;TUCHO MOTOR GOL POWER;23;8
7628;47131;RADIADOR OLEO CAMBIO TORO;249;4
7648;48306;SONDA LAMBDA PRE POS KWID LAR/CINZ;187;3
7763;49325;FILTRO OLEO UNO MOBI 3CC;19;17
7827;49177;ABRAÇADEIRA PRESSAO 11,3;2;19
7835;49611;OLEO MOTOR IPIRANGA 5W40 F1 MASTER SP;44.9;255
7836;49612;OLEO MOTOR IPIRANGA 5W30 F1 MASTER SP;32.9;5245
7938;50081;OLEO MOTOR SELENIA PERFORM 5W40 SP;46;130
7939;50082;OLEO MOTOR SELENIA PERFORM 5W30 SP;42;127
7951;52368;OLEO MOTOR SELENIA K 15W40 API SP VERMELHO;35;74
7978;50933;ELETROVENTILADOR CN HONDA 1.5 16V FIT WRV;499;11
7991;50546;COXIM MOTOR ARGO LD;385;2
8053;53622;ADITIVO RAD CONC ROSA MAHLE;29;11
8113;51943;KIT AMORT DIANT COMPLETO PALIO LE;138;9
8168;50730;CABO COMANDO SEL MARCHA MARCH;399;2
8186;52836;OLEO FREIO 500ML DOT3 PARAFLU;18;13
8194;52838;OLEO FREIO DOT4 PARAFLU 500ML;26;153
8228;52351;KIT EMBREAGEM KWID;399;7
8254;50796;OLEO UNIVERSAL ULTRAGEAR GL5 80W90 IPIRANGA;39;75
8370;51192;SILICONE NEUTRO ALTA TEMP PRO PRETO WURTH 85G;28;578
8437;53496;FILTRO AR PALIO FIRE SIENA;13;10
8445;53129;FILTRO CABINE COBALT;14;5
8474;53748;ADITIVO RAD ROSA MAHLE PRONTO USO;21;123
8485;53641;CABEÇOTE MOTOR FORD KA;2799;5
8595;54144;OLEO LUBRAX TRANSM ATF DX6 DVI 1LT;55;118
8623;54408;BOMBA OLEO UNO;1249;2
8624;54155;OLEO MOTOR DULUB 5W40 ULTRATECH SP;29;3
8642;54160;ABRAÇADEIRA 26X38 9MM;3;77
8677;54493;LIXA D AGUA 331Q P80 3M;3;9
8682;54666;SELO BLOCO 30,40MM PALIO FIRE;6;150
8741;54203;CAIXA DIREÇAO HIDR CELTA;1319;2
8890;54840;CAIXA DIRECAO HIDRAULICA GOL GV;1319;4
8900;55291;RADIADOR AGUA COBALT PRISMA ONIX;669;6
8929;55502;PARAFUSO CABEÇOTE CORSA;27;6
8987;51448;KIT EMBREAGEM HB20;579;8
9053;51542;JUNTA FIXA STRADA;152;5
